t,t_norm,snr_linear,snr_cosine,snr_cosine_match_linear
584,0.5845845845845846,0.031956031918525696,0.5701962113380432,0.7898160219192505
585,0.5855855855855856,0.03156859055161476,0.5665106177330017,0.7851167917251587
586,0.5865865865865866,0.031185340136289597,0.5628456473350525,0.7804426550865173
587,0.5875875875875876,0.030806243419647217,0.5592012405395508,0.7757936716079712
588,0.5885885885885885,0.03043125756084919,0.5555770397186279,0.7711691856384277
589,0.5895895895895896,0.03006034344434738,0.5519729256629944,0.7665693759918213
590,0.5905905905905906,0.029693467542529106,0.5483889579772949,0.761993944644928
591,0.5915915915915916,0.02933058701455593,0.5448247790336609,0.7574430108070374
592,0.5925925925925926,0.028971662744879723,0.5412803292274475,0.7529157996177673
593,0.5935935935935935,0.028616661205887794,0.5377556681632996,0.7484130859375
594,0.5945945945945946,0.028265543282032013,0.5342501401901245,0.7439334988594055
595,0.5955955955955956,0.027918271720409393,0.5307645201683044,0.7394782304763794
596,0.5965965965965966,0.0275748111307621,0.5272977948188782,0.7350459694862366
597,0.5975975975975976,0.027235122397542,0.5238505601882935,0.7306375503540039
598,0.5985985985985987,0.026899170130491257,0.5204223394393921,0.7262522578239441
599,0.5995995995995996,0.026566920801997185,0.5170127749443054,0.7218896150588989
600,0.6006006006006006,0.02623833529651165,0.5136220455169678,0.7175500392913818
601,0.6016016016016016,0.025913383811712265,0.5102502703666687,0.7132335305213928
602,0.6026026026026026,0.025592023506760597,0.5068967342376709,0.7089394330978394
603,0.6036036036036037,0.025274226441979408,0.5035618543624878,0.7046679258346558
604,0.6046046046046046,0.024959955364465714,0.5002452731132507,0.7004187107086182
605,0.6056056056056056,0.024649176746606827,0.49694693088531494,0.6961917281150818
606,0.6066066066066066,0.02434185892343521,0.49366676807403564,0.6919867396354675
607,0.6076076076076076,0.024037960916757584,0.49040457606315613,0.6878036856651306
608,0.6086086086086087,0.023737460374832153,0.4871600270271301,0.6836422681808472
609,0.6096096096096096,0.023440316319465637,0.48393329977989197,0.679502546787262
610,0.6106106106106106,0.023146498948335648,0.4807247817516327,0.6753848195075989
611,0.6116116116116116,0.0228559747338295,0.4775333106517792,0.6712880730628967
612,0.6126126126126126,0.022568712010979652,0.4743596017360687,0.6672126650810242
613,0.6136136136136137,0.022284679114818573,0.4712028205394745,0.6631580591201782
614,0.6146146146146146,0.022003844380378723,0.4680636525154114,0.6591247916221619
615,0.6156156156156156,0.021726176142692566,0.46494144201278687,0.6551121473312378
616,0.6166166166166166,0.021451642736792564,0.4618365466594696,0.6511207222938538
617,0.6176176176176176,0.02118021436035633,0.4587485194206238,0.6471496820449829
618,0.6186186186186187,0.020911861211061478,0.4556770324707031,0.6431987881660461
619,0.6196196196196196,0.02064654789865017,0.4526226222515106,0.6392686367034912
620,0.6206206206206206,0.020384253934025764,0.4495847821235657,0.6353586912155151
621,0.6216216216216216,0.02012494020164013,0.4465632438659668,0.6314684748649597
622,0.6226226226226226,0.019868582487106323,0.44355812668800354,0.627598226070404
623,0.6236236236236237,0.01961514912545681,0.44056984782218933,0.6237485408782959
624,0.6246246246246246,0.019364608451724052,0.4375975430011749,0.6199181079864502
625,0.6256256256256256,0.01911693997681141,0.43464136123657227,0.6161074638366699
626,0.6266266266266266,0.018872106447815895,0.43170133233070374,0.6123161911964417
627,0.6276276276276276,0.01863008365035057,0.42877697944641113,0.6085441708564758
628,0.6286286286286287,0.018390843644738197,0.42586857080459595,0.6047914624214172
629,0.6296296296296297,0.018154358491301537,0.42297613620758057,0.6010581254959106
630,0.6306306306306306,0.01792060025036335,0.4200994372367859,0.597343921661377
631,0.6316316316316316,0.01768953911960125,0.41723811626434326,0.593648374080658
632,0.6326326326326326,0.017461149021983147,0.414392352104187,0.589971661567688
633,0.6336336336336337,0.01723540388047695,0.4115619361400604,0.5863136053085327
634,0.6346346346346347,0.017012279480695724,0.4087470471858978,0.5826743841171265
635,0.6356356356356356,0.01679174415767193,0.40594732761383057,0.579053521156311
636,0.6366366366366366,0.016573777422308922,0.40316280722618103,0.5754511952400208
637,0.6376376376376376,0.016358347609639168,0.4003932774066925,0.5718668103218079
638,0.6386386386386387,0.016145430505275726,0.3976384699344635,0.5683006048202515
